foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
1548;MAISSIVELLI, MAITO, SUOLAA;285.73000;1.58400;10.05200;11.10500;3.15000;0.00000;1.24200;93.37000
35296;KIISSELI, TYRNIKEITTO;232.20000;0.73400;10.96000;12.65200;0.34000;0.00000;0.17300;71.29000
33886;KEKSI, TÄYTEKEKSI, KAURATÄYTEKEKSI;2125.31000;29.28900;53.97600;56.92700;5.88000;0.00000;1.32300;6.58000
1507;SEKALEIPÄ, RIESKA, OHRASUURIMO, PIIMÄ;740.54000;1.80000;30.83700;36.36800;6.80000;0.00000;1.45200;77.50000
35256;KAALIKEITTO, PORKKANAA, SIANLIHA;250.45000;3.05800;2.57000;3.62700;4.82000;0.00000;0.92000;84.77000
31680;PASTA, KUITUPITOINEN, LUONTAISESTI GLUTEENITON, KEITETTY, SUOLATON;501.14000;0.57000;24.36100;26.86000;2.85000;0.00000;0.39500;69.32000
7857;MAKSAKASTIKE, JAUHEMAKSAKASTIKE, RUSKEA KASTIKE, RASVAA;422.11000;4.90300;4.16600;4.25000;9.83000;0.00000;2.19200;84.53000
29797;PAAHTOLEIPÄ, RUISPAAHTOLEIPÄ;1180.86000;3.28200;51.54600;55.84200;8.43000;0.00000;1.71600;25.37000
7083;PORSAANPAISTI, VÄHÄRASVAINEN;675.04000;5.48600;0.00000;0.00000;27.77000;0.00000;2.13200;67.91000
668;JÄÄTELÖ, KERMAJÄÄTELÖ, RASVAA YLI 12 %, KESKIARVO;875.56000;14.20000;16.66000;15.92200;3.94000;0.00000;0.94000;65.00000
814;LAHNA;411.93000;3.18000;0.00000;0.00000;17.31000;0.00000;1.10000;78.41000
29228;JUUSTO, FETAJUUSTO, VUOHENMAITO, ÖLJYSSÄ;1373.83000;28.75000;1.14000;1.14000;17.10000;0.00000;4.46500;48.54000
32927;ATERIASALAATTI, VUOHENJUUSTOSALAATTI, KEITETTY PUNAJUURI, ÖLJYKASTIKE;645.79000;12.01300;5.65200;7.85600;5.30000;0.00000;1.21400;74.80000
28952;UUNIPERUNA, ILMAN TÄYTETTÄ KUORINEEN, EI RASVAA, EI SUOLAA;294.29000;0.10500;14.32100;16.54800;1.74000;0.00000;1.01600;58.39000
32175;HOLLANDAISEKASTIKEJAUHE, KASTIKEAINEKSET, CAMPBELLS/BLÅ BAND;2211.33000;37.58600;42.94500;42.92500;5.33000;0.00000;5.56300;8.60000
32623;ATERIANKORVIKE, DRINKMIX, JUOMAJAUHE, NATURDIET;1463.19000;5.47700;31.86900;47.04300;35.14000;0.00000;4.06900;8.27000
31672;VOITAIKINA KESKIARVO, TÄYTTEETÖN, UUNISSA;1846.56000;33.30800;30.47200;30.15200;4.99000;0.00000;1.32200;30.92000
645;JUUSTO, KUTUNJUUSTO, VUOHENJUUSTO, RASVAA 30 %, KOVA JUUSTO;1471.40000;32.60000;3.60000;3.60000;12.00000;0.00000;3.00000;48.80000
926;VALKOVIINI, MAKEA;404.74000;0.00000;6.00000;6.58800;0.31000;10.00000;0.10000;83.00000
1009;RUISLEIPÄ, PERINTEINEN, VESI, TÄYSJYVÄRUISJAUHO;1002.17000;1.42700;43.65100;57.36300;7.32000;0.00000;1.83500;29.15000
6004;KIISSELI, MAISSIKIISSELI;390.75000;2.49700;13.12300;14.07300;4.28000;0.00000;0.75600;92.55000
32827;PANNUKAKKU, PIIMÄ;617.64000;3.59100;20.67500;22.09000;6.99000;0.00000;1.26400;76.73000
1546;PERUNAVELLI, MAITO, PERUNASUURIMO, SUOLAA;306.32000;2.96000;8.25100;9.39600;3.14000;0.00000;1.26200;93.67000
